2018/11/2,17:0:20
FirmwareVer=DropsondeV2OPC-012id PCBv4.SPIdef.............BS
bb0,bb1,bb2,bb3,bb4,bb5,bb6,bb7,bb8,bb9,bb10,bb11,bb12,bb13,bb14,bb15,GSC,ID
35,92,208,328,451,578,708,842,979,1119,1263,1411,1562,1716,1856,4095,1.00,1
time,temp,hum,b0,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,b11,b12,b13,b14,b15,b1tof,b3tof,b5tof,b7tof,period,csum,glitch,longtof,rejrat
60414,225,940,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153,69,17817,5,5,0,10
60955,225,955,11,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,208,67,17360,15,15,0,8
61499,224,931,11,3,2,0,0,1,0,0,0,0,0,0,0,0,0,0,84,0,31,68,17439,17,17,0,9
62042,224,925,8,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,68,17436,12,12,0,17
62584,226,923,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250,67,17402,10,10,0,11
63127,229,922,8,4,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,28,68,17436,15,15,0,6
63669,223,918,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,214,67,17366,9,9,0,13
64215,225,918,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,68,17528,4,4,0,7
64754,225,916,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180,67,17332,9,9,0,14
65296,225,910,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,212,67,17364,11,11,0,9
65839,223,910,5,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,28,68,17436,8,8,0,11
66378,224,910,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,178,67,17330,6,6,0,12
66920,225,906,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,214,67,17366,8,8,0,6
67460,224,905,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,179,67,17331,8,8,0,5
68015,223,904,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152,69,17816,7,7,0,10
68555,224,901,6,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,208,67,17360,11,11,0,6
69098,223,900,3,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250,67,17402,8,8,0,9
69638,227,900,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,179,67,17331,6,6,0,7
70178,225,898,6,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,182,67,17334,9,9,0,10
70719,224,895,5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,216,67,17368,7,7,0,9
71260,224,896,8,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180,67,17332,15,15,0,11
71808,223,894,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,195,68,17603,9,9,0,14
72349,224,890,9,5,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,217,67,17369,16,16,0,14
72892,225,891,8,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,68,17439,19,19,0,10
73436,224,890,6,4,3,0,0,1,0,0,0,0,0,0,0,0,0,0,82,0,31,68,17439,14,14,0,2
73977,223,878,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250,67,17402,6,6,0,14
74519,223,885,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,212,67,17364,7,7,0,11
75060,223,881,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,215,67,17367,8,8,0,11
75616,222,884,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,184,69,17848,7,7,0,10
76156,222,879,10,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,204,67,17356,17,17,0,17
76737,222,882,8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,220,72,18652,10,10,0,13
77280,223,880,11,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,68,17430,16,16,0,5
77822,222,873,6,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,84,0,245,67,17397,11,11,0,17
78366,222,881,6,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,68,17473,11,11,0,15
78909,225,874,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,251,67,17403,11,11,0,10
79457,224,871,14,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,194,68,17602,20,20,0,15
80002,223,874,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,68,17470,10,10,0,10
80543,223,872,11,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,252,67,17404,15,15,0,11
81088,223,870,5,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,68,17473,10,10,0,11
81630,222,872,5,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,251,67,17403,9,9,0,6
82170,222,869,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180,67,17332,10,10,0,11
82713,222,870,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,68,17438,6,6,0,14
83268,221,869,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,154,69,17818,8,8,0,17
83810,221,867,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,209,67,17361,8,8,0,10
84350,222,867,9,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,218,67,17370,16,16,0,8
84893,220,866,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250,67,17402,6,6,0,13
85434,221,865,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,215,67,17367,8,8,0,6
85975,222,864,7,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,183,67,17335,12,12,0,6
86516,220,865,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,253,67,17405,6,6,0,13
87063,220,864,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126,68,17534,10,10,0,11
87606,221,861,10,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,68,17438,14,14,0,15
88150,221,865,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,68,17440,10,10,0,14
88691,220,859,4,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,252,67,17404,11,11,0,11
89235,220,858,6,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,68,17438,11,11,0,9
89776,220,848,5,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,216,67,17368,10,10,0,10
90319,219,859,9,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,68,17439,15,15,0,4
90875,219,859,2,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,192,69,17856,9,9,0,10
91416,219,857,6,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,209,67,17361,10,10,0,9
