24/10/2018,15:14:32,,,,,,,,,,,,,,,,,,,,,,,,,
FirmwareVer=DropsondeV2OPC-012id PCBv4.SPIdef.............BS,,,,,,,,,,,,,,,,,,,,,,,,,,
bb0,bb1,bb2,bb3,bb4,bb5,bb6,bb7,bb8,bb9,bb10,bb11,bb12,bb13,bb14,GSC,ID,,,,,,,,,,
0,92,208,328,451,578,708,842,979,1119,1263,1411,1562,1716,1874,1,1,,,,,,,,,,
time,temp,hum,b0,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,b11,b12,b13,b14,b1tof,b3tof,b5tof,b7tof,period,csum,glitch,longtof,rejrat
58077,315,881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17426,0,18,68,3
58613,316,885,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,228,0,0,0,17226,1,74,67,0
59153,320,884,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,17295,2,143,67,1
59702,320,887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17627,0,219,68,2
60239,321,889,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,99,0,0,0,17261,2,109,67,1
60778,319,885,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17296,1,144,67,1
61317,316,887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17262,0,110,67,0
61869,315,888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17741,0,77,69,0
62405,312,889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17221,0,69,67,0
62942,313,888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17220,0,68,67,0
63479,313,889,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17227,1,75,67,0
64016,310,891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17226,0,74,67,0
64552,310,889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17227,0,75,67,0
65089,310,888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17226,0,74,67,0
65631,310,886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17390,0,238,67,0
66169,312,883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17262,0,110,67,3
66707,306,886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17261,0,109,67,1
67245,306,883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17260,0,108,67,0
67782,308,881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17262,0,110,67,0
68321,311,880,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,118,0,0,0,17260,1,108,67,2
68860,309,881,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,150,0,0,0,17329,1,177,67,2
69400,311,879,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,246,0,0,0,17332,1,180,67,0
69955,309,880,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,0,17814,2,150,69,2
70494,314,880,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,237,0,0,0,17290,3,138,67,3
71033,310,876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17327,0,175,67,2
71572,310,877,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,17261,1,109,67,3
